fold,train_start,train_end,test_start,test_end,train_N,train_EV,train_PnL,train_WR,test_N,test_EV,test_PnL,test_WR,test_PF,symbol,tf,strat,tp,sl,mh,label
1,200,620,620,760,7,1.2195889741400012,8.53712281898001,71.42857142857143,4,0.6495000000000073,2.598000000000029,50.0,1.962578732864041,ICPUSDT,4h,DIVERGENCE,3.0,1.0,6,BEST_EV_CONSISTENT
2,340,760,760,900,8,1.1492500000000077,9.194000000000061,62.5,1,-1.349500000000001,-1.349500000000001,0.0,0.0,ICPUSDT,4h,DIVERGENCE,3.0,1.0,6,BEST_EV_CONSISTENT
3,480,900,900,1040,6,0.6495000000000051,3.8970000000000304,50.0,1,2.6485000000000074,2.6485000000000074,100.0,10.0,ICPUSDT,4h,DIVERGENCE,3.0,1.0,6,BEST_EV_CONSISTENT
4,620,1040,1040,1180,6,0.649500000000006,3.8970000000000358,50.0,1,-1.3495000000000033,-1.3495000000000033,0.0,0.0,ICPUSDT,4h,DIVERGENCE,3.0,1.0,6,BEST_EV_CONSISTENT
5,760,1180,1180,1320,3,-0.016833333333332295,-0.05049999999999688,33.33333333333333,2,-0.1271088310850696,-0.2542176621701392,50.0,0.24917925303659058,ICPUSDT,4h,DIVERGENCE,3.0,1.0,6,BEST_EV_CONSISTENT
1,200,620,620,760,6,1.5686849304106192,9.412109582463716,83.33333333333334,5,0.649500000000003,3.2475000000000147,60.0,1.6912515964240125,ICPUSDT,4h,EMA_CROSS,3.0,2.0,6,BEST_TOTAL_PNL
2,340,760,760,900,9,0.8180677313848577,7.362609582463719,66.66666666666666,3,-0.6831666666666546,-2.0494999999999637,33.33333333333333,0.5637505321413425,ICPUSDT,4h,EMA_CROSS,3.0,2.0,6,BEST_TOTAL_PNL
3,480,900,900,1040,9,0.42738888888889437,3.8465000000000495,55.55555555555556,2,2.6485000000000056,5.297000000000011,100.0,10.0,ICPUSDT,4h,EMA_CROSS,3.0,2.0,6,BEST_TOTAL_PNL
4,620,1040,1040,1180,10,0.6495000000000062,6.495000000000062,60.0,1,2.648500000000012,2.648500000000012,100.0,10.0,ICPUSDT,4h,EMA_CROSS,3.0,2.0,6,BEST_TOTAL_PNL
5,760,1180,1180,1320,6,0.9826666666666766,5.896000000000059,66.66666666666666,2,-0.7242990674084406,-1.4485981348168813,50.0,0.38331284171269475,ICPUSDT,4h,EMA_CROSS,3.0,2.0,6,BEST_TOTAL_PNL
1,200,620,620,760,7,1.4337675455685606,10.036372818979924,85.71428571428571,4,0.39962499999999856,1.5984999999999943,50.0,1.5922563912560226,ICPUSDT,4h,DIVERGENCE,2.5,1.0,6,DIVERGENCE_2x
2,340,760,760,900,8,1.2741874999999938,10.19349999999995,75.0,1,-1.349500000000001,-1.349500000000001,0.0,0.0,ICPUSDT,4h,DIVERGENCE,2.5,1.0,6,DIVERGENCE_2x
3,480,900,900,1040,6,0.3996249999999968,2.3977499999999807,50.0,1,2.148750000000006,2.148750000000006,100.0,10.0,ICPUSDT,4h,DIVERGENCE,2.5,1.0,6,DIVERGENCE_2x
4,620,1040,1040,1180,6,0.3996249999999999,2.3977499999999994,50.0,1,-1.3495000000000033,-1.3495000000000033,0.0,0.0,ICPUSDT,4h,DIVERGENCE,2.5,1.0,6,DIVERGENCE_2x
5,760,1180,1180,1320,3,-0.18341666666666612,-0.5502499999999984,33.33333333333333,2,-0.1271088310850696,-0.2542176621701392,50.0,0.24917925303659058,ICPUSDT,4h,DIVERGENCE,2.5,1.0,6,DIVERGENCE_2x
1,200,620,620,760,10,0.14975000000000546,1.4975000000000547,50.0,2,-2.349000000000001,-4.698000000000002,0.0,0.0,XRPUSDT,4h,BREAKOUT,3.0,2.0,24,XRP_BEST
2,340,760,760,900,10,-0.34999999999999576,-3.4999999999999574,40.0,2,-2.3489999999999904,-4.697999999999981,0.0,0.0,XRPUSDT,4h,BREAKOUT,3.0,2.0,24,XRP_BEST
3,480,900,900,1040,9,-1.238444444444441,-11.145999999999969,22.22222222222222,7,1.2206428571428636,8.544500000000046,71.42857142857143,2.8187526607066933,XRPUSDT,4h,BREAKOUT,3.0,2.0,24,XRP_BEST
4,620,1040,1040,1180,11,-0.07740909090908522,-0.8514999999999375,45.45454545454545,1,-2.348999999999993,-2.348999999999993,0.0,0.0,XRPUSDT,4h,BREAKOUT,3.0,2.0,24,XRP_BEST
5,760,1180,1180,1320,10,0.14975000000000716,1.4975000000000716,50.0,3,0.9826666666666739,2.9480000000000217,66.66666666666666,2.2550021285653563,XRPUSDT,4h,BREAKOUT,3.0,2.0,24,XRP_BEST
