"TF","Prd","MinS","MPP","MBar","Ind","TP","SL","WR","Trades","PnL","Score"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","0.5","0.5","50","4","0","2"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","0.5","1","60","5","0.5","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","0.5","1.5","60","5","0","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","0.5","2","60","5","-0.5","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","0.5","2.5","60","5","-1","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","0.5","3","60","5","-1.5","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","0.5","4","60","5","-2.5","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","0.5","5","60","5","-3.5","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","1","0.5","0","4","-2","0"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","1","1","60","5","2","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","1","1.5","60","5","1.5","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","1","2","60","5","1","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","1","2.5","60","5","0.5","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","1","3","60","5","0","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","1","4","60","5","-1","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","1","5","60","5","-2","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","1.5","0.5","0","4","-2","0"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","1.5","1","60","5","3.5","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","1.5","1.5","60","5","3","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","1.5","2","60","5","2.5","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","1.5","2.5","60","5","2","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","1.5","3","60","5","1.5","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","1.5","4","60","5","0.5","3"
"4h","3","1","5","60","RSI+MACD+Stoch+MFI","1.5","5","60","5","-0.5","3"
