strat,params,exit_mode,exit_label,exit_cfg,mh,train_N,train_EV,train_PnL,train_PF,train_WR,test_N,test_EV,test_PnL,test_PF,test_WR,test_max_dd,test_t_stat,full_N,full_EV,full_PnL,full_PF,full_WR,full_max_dd,full_final_equity,full_sharpe,full_t_stat,symbol,tf,combined_N
EMA_CROSS,"{""fast"": 9, ""slow"": 30}",chandelier,CHAN_3.5,"{""mode"": ""chandelier"", ""chandelier_atr_mult"": 3.5, ""label"": ""CHAN_3.5""}",36,26,4.822251199668186,125.37853119137282,3.1103023055213823,30.76923076923077,16,1.6443609638630892,26.309775421809427,1.448228507671732,37.5,-16.407286557487904,0.46238503256785285,44,3.1040231243133163,136.57701746978591,2.0251904325892465,31.818181818181817,-26.3792939216615,2.0035369553520517,0.9154484934268866,0.9154484934268866,ICPUSDT,4h,42
EMA_CROSS,"{""fast"": 12, ""slow"": 30}",chandelier,CHAN_3.5,"{""mode"": ""chandelier"", ""chandelier_atr_mult"": 3.5, ""label"": ""CHAN_3.5""}",36,24,4.985973308392059,119.66335940140942,3.1015577976649578,37.5,14,1.1377170809261863,15.928039132966608,1.304919616869161,28.57142857142857,-17.259759198309787,0.3198584133310447,39,3.3752138356429517,131.6333395900751,2.1635045337480183,33.33333333333333,-19.69112598861138,1.9945880839601284,0.9035990730818959,0.9035990730818959,ICPUSDT,4h,38
EMA_CROSS,"{""fast"": 5, ""slow"": 30}",chandelier,CHAN_3.5,"{""mode"": ""chandelier"", ""chandelier_atr_mult"": 3.5, ""label"": ""CHAN_3.5""}",36,33,3.117563032558703,102.8795800744372,2.1218079934849055,30.303030303030305,17,1.7931432963138907,30.48343603733614,1.5004808454406187,35.294117647058826,-14.531918606894296,0.5198105452506181,52,2.296328987893357,119.40910737045456,1.7168664256219763,30.76923076923077,-37.07468130519031,1.6355764221795357,0.7867557592124216,0.7867557592124216,ICPUSDT,4h,50
EMA_CROSS,"{""fast"": 9, ""slow"": 50}",chandelier,CHAN_3.5,"{""mode"": ""chandelier"", ""chandelier_atr_mult"": 3.5, ""label"": ""CHAN_3.5""}",36,25,3.3786412386992977,84.46603096748244,2.0013928156672565,24.0,13,2.431044752849667,31.60358178704567,1.6784589448140859,30.76923076923077,-15.387284774751123,0.6088139521529856,39,2.7434382438990337,106.99409151206231,1.7642135356198507,25.64102564102564,-40.11798729324394,1.5235524331819883,0.723158395505535,0.723158395505535,ICPUSDT,4h,38
EMA_CROSS,"{""fast"": 9, ""slow"": 30}",chandelier,CHAN_3.5,"{""mode"": ""chandelier"", ""chandelier_atr_mult"": 3.5, ""label"": ""CHAN_3.5""}",24,26,2.370362927871114,61.62943612464896,2.090947713419203,38.46153846153847,16,3.581657434961683,57.30651895938693,2.154828497169309,43.75,-13.803439742115179,0.8890990656449136,44,2.3596514986508996,103.82466594063959,1.856453020215478,38.63636363636363,-20.087628819246305,2.071878188426145,1.2027077881033612,1.2027077881033612,ICPUSDT,4h,42
ADX_TREND,"{""adx_period"": 14, ""adx_thresh"": 25, ""adx_rising"": true}",chandelier,CHAN_3.5,"{""mode"": ""chandelier"", ""chandelier_atr_mult"": 3.5, ""label"": ""CHAN_3.5""}",36,35,2.664649522099505,93.26273327348267,1.699227109652004,25.71428571428571,21,1.0730833358210248,22.53475005224152,1.3124373766991413,38.095238095238095,-19.09284142109412,0.3980379005203544,58,1.736853211491917,100.73748626653119,1.4567238940452572,29.310344827586203,-48.50117634477037,1.0485842750039918,0.535147515481805,0.535147515481805,ICPUSDT,4h,56
EMA_CROSS,"{""fast"": 12, ""slow"": 30}",chandelier,CHAN_3.5,"{""mode"": ""chandelier"", ""chandelier_atr_mult"": 3.5, ""label"": ""CHAN_3.5""}",24,25,2.0317763540026936,50.79440885006734,1.9284043046538828,44.0,14,2.673065919141549,37.42292286798168,1.7872284559086375,42.857142857142854,-17.259759198309794,0.6614791808607647,40,2.1064818193437045,84.25927277374818,1.79334847207737,42.5,-17.259759198309805,1.8065644439950173,1.081016300576539,1.081016300576539,ICPUSDT,4h,39
DIVERGENCE,"{""pivot_period"": 3, ""min_score"": 2, ""use_trend"": false, ""ema_len"": 50, ""max_bars"": 100, ""max_pivots"": 8}",chandelier,CHAN_3.5,"{""mode"": ""chandelier"", ""chandelier_atr_mult"": 3.5, ""label"": ""CHAN_3.5""}",36,49,1.6426646285592439,80.49056679940296,1.6086114260195152,38.775510204081634,34,0.0705486922492463,2.398655536474374,1.0203679474900587,26.47058823529412,-41.8182239963699,0.03849257966604295,86,0.9220979174254673,79.30042089859019,1.3105517195997731,33.72093023255814,-52.16145150766206,1.1690042425274294,0.5792101050074356,0.5792101050074356,ICPUSDT,4h,83
EMA_CROSS,"{""fast"": 20, ""slow"": 50}",chandelier,CHAN_3.5,"{""mode"": ""chandelier"", ""chandelier_atr_mult"": 3.5, ""label"": ""CHAN_3.5""}",36,23,1.6124293749675573,37.085875624253816,1.3686035950128999,21.73913043478261,8,5.701593828865661,45.61275063092529,3.7186737534288925,50.0,-6.4436014967066235,1.09239456886387,32,2.3512016342613062,75.2384522963618,1.6026328980725806,28.125,-53.16645065399682,1.2833943860560062,0.5930273349361743,0.5930273349361743,ICPUSDT,4h,31
EMA_CROSS,"{""fast"": 12, ""slow"": 50}",chandelier,CHAN_3.5,"{""mode"": ""chandelier"", ""chandelier_atr_mult"": 3.5, ""label"": ""CHAN_3.5""}",36,26,1.6169280955993754,42.04013048558376,1.4006515337785739,19.230769230769234,11,4.442525360411339,48.867778964524724,2.7929275793094868,36.36363636363637,-9.990735704158226,0.998155809346172,39,1.8122861027832624,70.67915800854723,1.4637313335853641,23.076923076923077,-51.400460819387106,1.173899680470276,0.5403688146181523,0.5403688146181522,ICPUSDT,4h,37
